t (s),V (mV)
0,10.8897
1.05,10.8121
2.1,10.8604
3.15,10.845
4.162,10.8101
5.162,10.7911
6.161,10.7975
7.162,10.7778
8.162,10.8011
9.161,10.6968
10.162,10.6454
11.161,10.5615
12.161,10.5113
13.161,10.5909
14.162,10.6756
15.161,10.6355
16.161,10.6041
17.161,10.5864
18.161,10.5208
19.161,10.5727
20.16,10.5756
21.161,10.5489
22.161,10.5217
23.161,10.4967
24.161,10.4274
25.161,10.427
26.161,10.4782
27.16,10.4375
28.161,10.5376
29.161,10.5725
30.161,10.5369
31.16,10.5436
32.161,10.4403
33.161,10.2448
34.16,10.1758
35.161,10.0697
36.16,10.1014
37.16,10.1497
38.161,10.2487
39.161,10.3224
40.161,10.2397
41.161,10.1153
42.161,9.9544
43.162,9.8624
44.161,9.7705
45.162,9.8022
46.162,9.8728
47.161,9.9506
48.161,10.0564
49.161,10.1679
50.16,10.246
51.161,10.237
52.16,10.2452
53.161,10.169
54.161,10.1981
55.161,10.2054
56.161,10.1401
57.161,10.1558
58.161,10.262
59.161,10.2053
60.161,10.1068
61.162,9.9737
62.161,9.9492
63.161,10.0191
64.161,9.9666
65.162,9.8694
66.161,9.9734
67.161,10.1288
68.16,10.1957
69.161,10.2602
70.161,10.3732
71.16,10.3605
72.161,10.2698
73.161,10.3569
74.161,10.4042
75.16,10.3631
76.161,10.3383
77.161,10.344
78.16,10.3682
79.161,10.3154
80.161,10.2693
81.161,10.2888
82.161,10.2809
83.161,10.201
84.161,10.1952
85.16,10.2268
86.161,10.1668
87.161,10.2497
88.161,10.2902
89.161,10.2364
90.16,10.2158
91.161,10.2972
92.161,10.3368
93.16,10.3586
94.161,10.3675
95.161,10.4013
96.16,10.3288
97.161,10.3684
98.161,10.3302
99.161,10.308
100.161,10.3016
101.161,10.2899
102.161,10.2972
103.161,10.2913
104.161,10.2357
105.161,10.1638
106.161,10.1093
107.161,10.0754
108.161,10.1088
109.16,10.1877
110.161,10.3922
111.161,10.4047
112.161,10.3905
113.161,10.4007
114.16,10.3525
115.16,10.3153
116.161,10.3314
117.161,10.5533
118.162,10.6882
119.162,10.6743
120.16,10.4571
121.161,10.368
122.161,10.3495
123.16,10.3214
124.161,10.2454
125.16,10.2163
126.161,10.1836
127.16,10.2339
128.161,10.2137
129.161,10.1958
130.161,10.1795
131.161,10.1366
132.16,10.1383
133.161,10.2223
134.161,10.2207
135.161,10.182
136.16,10.1339
137.161,10.0976
138.161,10.2445
139.16,10.2163
140.161,10.244
141.161,10.2433
142.161,10.2298
143.161,10.224
144.161,10.2292
145.161,10.3011
146.16,10.2628
147.161,10.0649
148.162,9.9923
149.161,9.9119
150.161,10.0156
151.161,10.0664
152.162,9.952
153.161,10.1019
154.162,9.8907
155.161,9.8737
156.162,9.9551
157.16,10.0539
158.161,10.1041
159.161,10.1226
160.161,10.1068
161.161,10.1269
162.161,10.1941
163.161,10.2388
164.161,10.2126
165.161,10.1923
166.16,10.1069
167.161,10.1042
168.161,10.1632
169.161,10.0176
170.162,9.9697
171.162,9.8719
172.161,9.8484
173.162,9.9937
174.161,10.0468
175.162,9.8691
176.16,10.0023
177.161,10.0725
178.162,9.9551
179.161,9.9359
180.162,9.7495
181.161,9.6607
182.162,9.5842
183.162,9.5488
184.161,9.742
185.162,9.8615
186.162,9.8278
187.161,9.7337
188.162,9.7431
189.162,9.7341
190.161,9.6004
191.162,9.5199
192.162,9.5191
193.161,9.5285
194.162,9.5036
195.161,9.4749
196.162,9.5905
197.162,9.5853
198.161,9.6031
199.162,9.5809
200.161,9.5768
201.162,9.6066
202.161,9.5506
203.162,9.6309
204.161,9.6683
205.162,9.7349
206.161,9.6844
207.162,9.7222
208.161,9.6696
209.162,9.6031
210.162,9.7216
211.161,9.7848
212.162,9.7935
213.162,9.8297
214.161,9.676
215.162,9.4444
216.161,9.2247
217.162,9.2461
218.161,9.4734
219.162,9.4581
220.162,9.3089
221.161,9.4435
222.162,9.4761
223.162,9.4636
224.161,9.433
225.162,9.4619
226.161,9.4604
227.162,9.519
228.161,9.6159
229.162,9.6588
230.161,9.6963
231.162,9.7223
232.161,9.7707
233.162,9.727
234.161,9.8017
235.162,9.7527
236.161,9.6905
237.162,9.6798
238.161,9.6435
239.162,9.6868
240.162,9.7038
241.161,9.6774
242.162,9.6036
243.161,9.5628
244.162,9.5968
245.161,9.6418
246.162,9.7473
247.161,9.7866
248.162,9.7647
249.162,9.5887
250.161,9.6401
251.162,9.6214
252.161,9.5507
253.162,9.5737
254.162,9.6753
255.162,9.7304
256.161,9.816
257.162,9.7927
258.162,9.6911
259.161,9.5763
260.162,9.5056
261.162,9.4936
262.161,9.5187
263.162,9.6882
264.162,9.7424
265.161,9.7477
266.162,9.6535
267.161,9.5517
268.162,9.5344
269.161,9.5849
270.162,9.5779
271.161,9.6234
272.162,9.6084
273.162,9.6048
274.161,9.5313
275.162,9.337
276.161,9.3391
277.162,9.3822
278.161,9.3484
279.162,9.3887
280.161,9.5532
281.162,9.6145
282.161,9.4512
283.162,9.519
284.161,9.6939
285.162,9.7694
286.162,9.8293
287.161,9.7931
288.162,9.7662
289.161,9.7486
290.162,9.6424
291.161,9.6989
292.162,9.7379
293.161,9.7168
294.162,9.6897
295.162,9.5806
296.161,9.4374
297.162,9.4039
298.161,9.4319
299.162,9.4956
300.161,9.4817
301.162,9.5074
302.162,9.5508
303.162,9.5708
304.161,9.5577
305.162,9.4747
306.161,9.4601
307.162,9.3713
308.161,9.273
309.162,9.2803
310.161,9.1949
311.162,9.3
312.161,9.3705
313.162,9.3913
314.161,9.4037
315.162,9.4325
316.161,9.4815
317.162,9.4781
318.162,9.4118
319.161,9.2839
320.162,9.3287
321.161,9.2443
322.162,9.1568
323.162,9.1005
324.161,9.3076
325.162,9.4207
326.161,9.3094
327.162,9.0669
328.162,9.0581
329.161,9.2297
330.162,9.3409
331.162,9.4143
332.162,9.2325
333.161,9.2117
334.162,9.253
335.161,9.2794
336.161,9.2077
337.162,9.21
338.162,9.2098
339.162,9.2276
340.161,9.1552
341.162,9.1528
342.161,9.1809
343.162,9.1197
344.161,9.1031
345.162,9.0829
346.161,9.09
347.162,9.0274
348.161,9.107
349.162,9.1533
350.161,9.138
351.162,9.0226
352.162,9.0167
353.162,9.0618
354.161,9.0781
355.162,9.0471
356.161,9.0866
357.162,9.05
358.161,8.9971
359.162,8.9814
360.161,9.0491
361.162,9.0975
362.161,9.0156
363.162,9.0267
364.161,9.0335
365.162,9.0523
366.161,9.0274
367.162,8.9816
368.161,9.0223
369.162,9.0352
370.161,9.0794
371.162,9.0618
372.161,9.075
373.162,9.037
374.161,8.9577
375.162,8.9647
376.161,9.0017
377.162,9.0067
