t (s),V (mV)
0,11.9043
0.97,11.8338
1.901,11.7901
2.871,11.8755
3.863,11.898
4.863,11.9195
5.864,11.9009
6.864,11.9274
7.864,11.9448
8.864,11.9589
9.864,11.9418
10.864,11.8449
11.863,11.7454
12.863,11.7931
13.864,11.7895
14.864,11.7379
15.864,11.7232
16.864,11.7357
17.863,11.7194
18.863,11.7236
19.863,11.789
20.864,11.701
21.864,11.6738
22.864,11.6492
23.864,11.6267
24.864,11.7512
25.864,11.7461
26.864,11.6721
27.864,11.6052
28.864,11.6077
29.864,11.5779
30.864,11.4966
31.864,11.4161
32.864,11.413
33.864,11.4189
34.864,11.2814
35.864,11.2717
36.863,11.1907
37.863,11.0352
38.864,10.9527
39.864,10.9298
40.864,10.9843
41.864,10.9471
42.864,10.9723
43.864,10.8724
44.864,10.8432
45.863,10.8166
46.863,10.8655
47.863,10.9048
48.863,10.9021
49.864,10.9033
50.864,10.8646
51.864,10.8259
52.864,10.7901
53.864,10.6919
54.864,10.6771
55.864,10.6827
56.864,10.6947
57.864,10.649
58.864,10.6912
59.864,10.6345
60.864,10.698
61.864,10.6533
62.863,10.6024
63.863,10.5496
64.864,10.6663
65.864,10.7099
66.864,10.7407
67.864,10.8471
68.864,10.8913
69.864,10.9272
70.864,10.8918
71.863,10.8342
72.864,10.7354
73.864,10.6803
74.863,10.5487
75.862,10.4276
76.862,10.4082
77.862,10.3379
78.862,10.3885
79.862,10.4399
80.862,10.3142
81.862,10.3065
82.862,10.2721
83.862,10.3998
84.862,10.4768
85.862,10.4829
86.862,10.5396
87.862,10.5018
88.862,10.4421
89.862,10.3902
90.862,10.2962
91.862,10.1758
92.862,10.152
93.862,10.3229
94.862,10.4493
95.862,10.3974
96.862,10.4097
97.862,10.2636
98.862,10.2391
99.862,10.1804
100.862,10.2411
101.862,10.3114
102.862,10.3126
103.862,10.3208
104.862,10.2497
105.862,10.1609
106.862,10.1546
107.862,10.156
108.862,10.1451
109.863,9.9824
110.863,10.0091
111.863,9.9471
112.863,9.9112
113.863,9.8874
114.863,9.9546
115.863,9.9699
116.863,9.9224
117.863,9.9258
118.863,9.8616
119.863,9.8398
120.863,9.7521
121.864,9.7867
122.864,9.7252
123.864,9.7535
124.864,9.7731
125.864,9.7823
126.864,9.7321
127.864,9.6024
128.864,9.6296
129.863,9.6821
130.864,9.6698
131.864,9.5627
132.864,9.5221
133.864,9.6037
134.864,9.6778
135.864,9.6932
136.864,9.7792
137.863,9.6581
138.864,9.7357
139.864,9.8205
140.864,9.7738
141.864,9.6598
142.864,9.6178
143.864,9.5342
144.864,9.492
145.864,9.5203
146.864,9.4345
147.864,9.3489
148.864,9.3384
149.864,9.3432
150.864,9.341
151.864,9.3999
152.863,9.409
153.864,9.4082
154.864,9.4747
155.864,9.3661
156.864,9.3609
157.864,9.4149
158.864,9.4653
159.864,9.5446
160.864,9.5305
161.864,9.5489
162.863,9.4571
163.863,9.4392
164.863,9.3401
165.864,9.2455
166.864,9.2439
167.864,9.3792
168.864,9.5479
169.864,9.6392
170.864,9.5707
171.863,9.457
172.864,9.5099
173.864,9.5423
174.864,9.6024
175.864,9.5927
176.864,9.6824
177.864,9.7656
178.863,9.7959
