t (s),V (mV)
0,19.5711
1.05,19.5793
2.1,19.6742
3.15,19.5792
4.165,19.6273
5.165,19.5576
6.165,19.3947
7.165,19.3639
8.165,19.4212
9.165,19.3974
10.165,19.4495
11.165,19.4652
12.165,19.3597
13.165,19.3377
14.165,19.241
15.165,19.1951
16.165,19.1129
17.165,19.0279
18.165,19.0304
19.165,19.0277
20.166,18.8292
21.166,18.7536
22.165,18.6836
23.166,18.6331
24.166,18.7129
25.165,18.5078
26.165,18.4543
27.165,18.3678
28.165,18.4031
29.165,18.3823
30.165,18.3448
31.165,18.2652
32.165,18.3218
33.165,18.3674
34.165,18.4255
35.166,18.3787
36.165,18.2274
37.165,18.1162
38.165,18.1682
39.165,18.1349
40.166,18.0907
41.165,18.0058
42.165,17.9817
43.165,17.9999
44.165,18.0087
45.165,18.0547
46.165,17.9935
47.165,17.8902
48.165,17.857
49.165,17.8984
50.165,17.9488
51.165,17.8183
52.166,17.5541
53.166,17.4195
54.166,17.3525
55.166,17.3107
56.165,17.3513
57.166,17.3852
58.165,17.3655
59.165,17.4216
60.165,17.3511
61.165,17.2528
62.165,17.277
63.166,17.1538
64.165,17.0529
65.165,17.0438
66.165,16.9792
67.165,16.8921
68.166,16.8037
69.165,16.6796
70.165,16.6937
71.165,16.8463
72.165,16.8912
73.165,16.9153
74.166,17.0104
75.165,17.0217
76.165,16.9691
77.166,16.8753
78.165,16.696
79.165,16.6451
80.165,16.6473
81.165,16.6731
82.165,16.6504
83.165,16.6991
84.165,16.7305
85.165,16.776
86.165,16.7589
87.165,16.6856
88.165,16.5126
89.165,16.4564
90.165,16.3083
91.165,16.2147
92.165,16.0992
93.165,16.098
94.165,16.0966
95.165,16.2093
96.165,16.2137
97.165,16.2531
98.165,16.2656
99.166,16.3496
100.165,16.2649
101.165,15.945
102.165,15.9645
103.165,15.9321
104.165,15.9069
105.166,15.9254
106.165,15.8927
107.165,15.8297
108.165,15.7927
109.165,15.673
110.165,15.7247
111.165,15.6771
112.165,15.5132
113.165,15.4596
114.165,15.3548
115.165,15.3735
116.165,15.3247
117.165,15.2802
118.165,15.1995
119.165,15.1957
120.165,15.154
121.165,15.1824
122.165,15.1035
123.165,14.9372
124.165,14.8173
125.165,14.7277
126.166,14.6969
127.165,14.7831
128.165,14.6534
129.165,14.6078
130.165,14.6147
131.165,14.6289
132.165,14.6793
133.165,14.6337
134.165,14.6146
135.165,14.6348
136.165,14.6218
137.165,14.5274
138.165,14.3702
139.165,14.2802
140.165,14.2011
141.165,14.1244
142.165,14.128
143.165,14.0887
144.165,14.0495
145.165,13.939
146.165,13.8672
147.165,13.7537
148.165,13.7436
149.165,13.8969
150.165,14.0296
151.165,14.0497
152.165,14.0915
153.165,14.0514
154.165,14.0977
155.165,14.0859
156.165,14.2249
157.165,14.3467
158.165,14.2404
159.165,14.1319
160.165,14.0034
161.165,13.9765
162.165,13.952
163.165,13.8762
164.165,13.8451
165.166,13.8554
166.165,13.8029
167.165,13.7755
168.165,13.8013
169.165,13.7262
170.165,13.7115
171.165,13.7254
172.165,13.6188
173.165,13.6442
174.165,13.5793
175.165,13.5056
176.165,13.4403
177.165,13.4837
178.166,13.5028
179.165,13.3855
180.166,13.2885
181.165,13.3136
182.166,13.1269
183.166,13.0789
184.166,13.0263
185.166,13.0212
186.166,12.9421
187.166,12.9354
188.166,13.0168
189.166,13.0353
190.166,13.0254
191.166,13.1063
192.166,13.167
193.165,13.222
194.165,13.0007
195.165,12.8892
196.165,12.968
197.166,12.8831
198.166,12.8525
199.166,12.767
200.165,12.6764
201.166,12.5975
202.166,12.6332
203.166,12.499
204.166,12.4046
205.166,12.3985
206.166,12.385
207.166,12.4561
208.166,12.4676
209.166,12.5051
210.166,12.6088
211.166,12.6434
212.166,12.6674
213.166,12.5903
214.166,12.5336
215.166,12.5282
216.166,12.4253
217.165,12.3431
218.165,12.2857
219.166,12.3342
220.165,12.4235
221.166,12.39
222.166,12.3239
223.166,12.3264
224.166,12.2845
225.166,12.2826
226.166,12.2362
227.166,12.2644
228.166,12.2686
229.166,12.3577
230.166,12.2829
231.166,12.2677
232.165,12.2513
233.165,12.2902
234.166,12.167
235.166,12.1964
236.166,12.0665
237.166,11.9903
238.166,11.922
239.165,11.8986
240.166,11.8431
241.165,11.7991
242.166,11.8356
243.165,11.8868
244.165,11.8566
245.166,11.6832
246.166,11.5451
247.165,11.4085
248.165,11.3083
249.165,11.3257
250.166,11.2573
251.166,11.3726
252.166,11.4776
253.166,11.6135
254.166,11.6028
255.166,11.5443
256.166,11.4934
257.166,11.5436
258.166,11.5035
259.165,11.4929
260.166,11.516
261.165,11.2931
262.166,11.1319
263.166,11.1387
264.165,11.1645
265.166,11.2009
266.166,11.2764
267.165,11.2916
268.165,11.0147
269.166,11
270.166,11.0436
271.165,11.0697
272.166,10.9757
273.166,11.0039
274.165,11.0029
275.166,10.9398
276.166,10.8767
277.166,10.8201
278.166,10.8407
279.166,10.8124
280.166,10.8959
281.166,10.7646
282.164,10.5445
283.164,10.3869
284.164,10.3822
285.164,10.315
286.164,10.1986
287.164,10.2349
288.164,10.2486
289.164,10.174
290.164,10.1156
291.164,10.0296
292.164,10.0049
293.165,9.9491
294.165,9.8219
295.166,9.6938
296.165,9.9077
297.165,10.0212
298.165,9.9757
299.164,10.0002
300.164,10.2014
301.164,10.4128
302.164,10.4839
303.164,10.1248
304.165,9.9804
305.164,10.0588
306.164,10.0783
307.164,10.0237
308.165,9.9069
309.166,9.885
310.165,9.8655
311.166,9.7637
312.165,9.7617
313.166,9.8319
314.166,9.945
315.164,10.0732
316.164,10.1
317.165,9.8373
318.165,9.7616
319.165,10.1097
320.164,10.134
321.164,10.0747
322.164,10.1418
323.165,9.9989
324.166,9.996
325.166,9.9893
326.166,9.9648
327.166,9.9539
328.165,9.8262
329.166,9.8483
330.166,9.8487
331.165,9.9115
332.165,9.9049
333.166,9.9163
334.166,9.8757
335.166,9.5853
336.166,9.6581
337.165,9.759
338.166,9.7323
339.166,9.6451
340.166,9.5942
341.166,9.5528
342.165,9.5537
343.166,9.537
344.166,9.2851
345.165,9.2059
346.166,9.277
347.165,9.1867
348.166,9.2112
349.166,9.3078
350.165,9.3236
351.165,9.4083
352.166,9.3786
353.166,9.5704
354.165,9.6294
355.166,9.5025
356.166,9.4853
357.165,9.4838
358.166,9.358
359.166,9.2094
360.165,9.0891
361.166,9.0053
362.166,8.9746
363.166,8.8952
364.166,8.8979
365.165,8.9054
366.166,9.0069
367.166,9.0533
368.166,8.9568
369.166,9.077
370.165,9.2516
371.165,9.3488
372.166,9.2316
373.165,9.2799
374.166,9.3734
375.166,9.3949
376.166,9.2896
377.165,8.9921
378.166,9.1117
379.166,9.1505
380.166,9.2157
