t (s),V (mV)
0,23.5184
0.969,23.4714
1.901,23.449
2.894,23.3891
3.894,23.288
4.894,23.2017
5.894,23.0802
6.894,23.0123
7.894,22.9264
8.894,22.8019
9.893,22.6662
10.893,22.7397
11.893,22.6335
12.893,22.3744
13.894,22.1491
14.894,21.9967
15.894,21.7833
16.893,21.6017
17.894,21.4339
18.894,21.2895
19.893,21.1879
20.893,21.0475
21.893,21.0527
22.893,21.1154
23.893,21.2883
24.893,21.3413
25.893,21.2177
26.894,21.1329
27.893,21.016
28.893,20.8825
29.893,20.7382
30.894,20.6115
31.893,20.6358
32.893,20.6346
33.893,20.5921
34.893,20.5445
35.894,20.4436
36.894,20.3265
37.894,20.3409
38.894,20.2745
39.893,20.1051
40.893,20.0207
41.893,19.9638
42.893,19.9013
43.893,19.8965
44.893,19.8423
45.893,19.6731
46.893,19.6228
47.893,19.5694
48.893,19.4868
49.893,19.5331
50.893,19.5227
51.893,19.4179
52.893,19.3488
53.893,19.3422
54.894,19.3022
55.893,19.1726
56.893,19.033
57.893,18.9591
58.893,18.9549
59.893,18.9779
60.893,18.9465
61.893,18.9061
62.893,18.8647
63.893,18.8021
64.893,18.7511
65.893,18.6636
66.893,18.5622
67.893,18.4566
68.893,18.2621
69.893,18.3348
70.893,18.3206
71.893,18.329
72.893,18.1449
73.893,18.0425
74.893,17.9523
75.893,17.851
76.893,17.7014
77.893,17.8091
78.893,17.9209
79.893,17.8228
80.893,17.8367
81.893,17.5861
82.893,17.496
83.893,17.4849
84.893,17.4577
85.893,17.4246
86.893,17.3407
87.893,17.3925
88.893,17.3211
89.893,17.2663
90.893,17.2747
91.894,17.307
92.894,17.23
93.894,17.2238
94.893,17.2157
95.893,16.8722
96.893,16.8363
97.893,16.7565
98.893,16.6602
99.894,16.3904
100.893,16.4461
101.893,16.455
102.894,16.4341
103.893,16.4823
104.893,16.533
105.893,16.4828
106.893,16.5235
107.893,16.5475
108.893,16.5417
109.893,16.4097
110.893,16.3395
111.893,16.1623
112.893,16.0572
113.893,15.9136
114.893,15.8408
115.893,16.0162
116.893,16.1351
117.893,16.1434
118.894,16.1013
119.894,16.1522
120.894,16.0923
121.893,15.9707
122.894,16.0869
123.893,16.0836
124.893,16.2195
125.894,16.0599
126.893,15.9342
127.893,15.79
128.893,15.7365
129.893,15.6783
130.893,15.641
131.893,15.5905
132.893,15.3851
133.893,15.2677
134.893,15.1053
135.893,14.8784
136.893,14.6255
137.893,14.7346
138.894,14.8479
139.893,14.8436
140.893,14.9024
141.894,14.9891
142.894,14.8087
143.894,14.7378
144.894,14.638
145.893,14.5098
146.893,14.3657
147.893,14.1849
148.893,13.9842
149.893,13.8295
150.893,13.9561
151.893,13.891
152.893,14.0124
153.893,14.1025
154.893,14.0506
155.893,14.0807
156.893,14.0751
157.893,13.9827
158.893,13.9565
159.893,13.8983
160.893,13.7988
161.893,13.7893
162.893,13.7352
163.893,13.6958
164.893,13.6451
165.893,13.5908
166.893,13.5248
167.893,13.5214
168.893,13.545
169.893,13.6337
170.893,13.6818
171.894,13.3776
172.893,13.3284
173.893,13.3313
174.893,13.3391
175.893,13.3447
176.893,13.3077
177.893,13.3281
178.893,13.2911
179.893,13.2768
180.893,13.2373
181.893,13.2096
182.893,12.9
183.893,12.7973
184.893,12.6924
185.893,12.5243
186.893,12.4839
187.893,12.3788
188.893,12.3791
189.893,12.2592
190.894,12.3149
191.893,12.2886
192.893,12.3442
193.893,12.4367
194.893,12.3673
195.893,12.3578
196.893,12.2216
197.893,12.1689
198.893,12.1118
199.893,12.0608
200.893,12.0937
201.893,12.0671
202.893,12.0777
203.893,11.9275
204.893,11.8748
205.893,11.8474
206.893,11.9396
207.893,11.9424
208.893,11.9609
209.893,11.7882
210.893,11.8795
211.893,11.9476
212.893,11.8632
213.893,11.7121
214.893,11.6333
215.893,11.633
216.893,11.6257
217.893,11.558
218.893,11.6724
219.893,11.6535
220.893,11.5626
221.893,11.4597
222.893,11.3008
